,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
144,Café,Vitão,78698,https://open.spotify.com/track/6i9ToXS6CAfjpp8veBklg1
145,"Não Me Sinto Mal Mais",Sidoka,78035,https://open.spotify.com/track/563yuGweEqRVQtjfsDVRyK
146,Parabéns,"Pabllo Vittar",77790,https://open.spotify.com/track/3mikf8qZaNp6wrrWxHgawH
147,"RITMO (Bad Boys For Life)","Black Eyed Peas",77775,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
148,Balão,Orochi,77692,https://open.spotify.com/track/4QFzCjkQl2c7wrzVrOu2sz
149,"Dona de mim",IZA,77608,https://open.spotify.com/track/0H8CBal2Dcu5Yc001VotZN
150,"Online - Ao Vivo","Henrique & Juliano",77439,https://open.spotify.com/track/42ynW96YtyRkp1nx2vE4g9
151,"Muito Cedo","Turma do Pagode",77208,https://open.spotify.com/track/7N0Py2msno86enR6JPNlpV
152,"Ride It",Regard,76907,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
153,"Amor Atual - Ao Vivo","Henrique & Juliano",76695,https://open.spotify.com/track/3nsKjzNGp8ForQahgMo2JV
154,"Onze e Pouquinho",Dilsinho,76316,https://open.spotify.com/track/65i9Mc7h1CG7ssI1OhMPcT
155,Boyfriend,"Selena Gomez",76301,https://open.spotify.com/track/4QnC1bIaMSfDQvF4XDhV5M
156,"Poesia Acústica #7: Céu Azul","Pineapple StormTv",76224,https://open.spotify.com/track/2FGhB10Gon36GgFcOTMQEW
157,"lovely (with Khalid)","Billie Eilish",75542,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
158,Brisa,IZA,75474,https://open.spotify.com/track/5rNNZ6fVYxkhwqUfImVhU1
159,"Notificação Preferida - Ao Vivo","Zé Neto & Cristiano",75259,https://open.spotify.com/track/3tA0vALUwrzkTgHcm9j6oJ
160,"Flor Que Se Cheira - Ao Vivo","Guilherme & Benuto",74521,https://open.spotify.com/track/49pu85144Xir6PgWjeyJhG
161,"Isso Que é Vida","Dennis DJ",73635,https://open.spotify.com/track/1dKYlw6v9wofuqb7EXSvPn
162,"Não sou obrigada",POCAH,73407,https://open.spotify.com/track/0nkDm27DGppCSk8dnGtvPa
163,"Piece Of Your Heart",MEDUZA,73024,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
164,"Life Is Good (feat. Drake)",Future,72715,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
165,"Mentiroso Eu - Ao Vivo","Henrique & Juliano",72185,https://open.spotify.com/track/2hP2u3a5vwlHmEb1VRrrTS
166,"Tá Rocheda","Os Barões Da Pisadinha",71427,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK
167,Lalala,Y2K,71153,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
168,Savage,"Megan Thee Stallion",71080,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
169,Mitsubishi,Orochi,70754,https://open.spotify.com/track/3zXIfbjxSzPMNP6JDZsQsi
170,"Piece Of Your Heart - Alok Remix",MEDUZA,70694,https://open.spotify.com/track/6iW38RGqdDGOofmz2HeXLW
171,"Teu Segredo - Ao Vivo","Vou pro Sereno",69938,https://open.spotify.com/track/15DHt4fP4FARWLvWkIxdAx
172,Shallow,"Lady Gaga",69879,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
173,Rajadão,"Pabllo Vittar",69533,https://open.spotify.com/track/1DmSaQjZkuwFi57KPv20oB
174,"Invocada (Participação especial de Léo Santana) - Ao vivo",Ludmilla,68951,https://open.spotify.com/track/4k20Ie47EcWtS4wMBn8w8S
175,"quando a bad bater - ao vivo","Luan Santana",68349,https://open.spotify.com/track/5gvrBqNFFEWcxYPt3mamvJ
176,"Stupid Love","Lady Gaga",67851,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
177,"Se Eu Fosse Você - Ao Vivo","Henrique & Juliano",67707,https://open.spotify.com/track/3HXLUh9lzSrSLvrvLk2LjC
178,"Rave Jogando o L","Mc Gw",66359,https://open.spotify.com/track/0AVDN1LiDn0abh39xqDRtQ
179,"(não) era amor","Giulia Be",66309,https://open.spotify.com/track/7DmZMqXYgQ1oI3z3bGUEbi
180,"Fica - Bonus Track",ANAVITÓRIA,66200,https://open.spotify.com/track/1qDZnViQgUItsMpWLVwfGb
181,"Casos Pendentes - Acústico","Diego & Arnaldo",66051,https://open.spotify.com/track/24YUl9cgjcEvgJTr2WIT1q
182,Happier,Marshmello,65713,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
183,"Pra Você Guardei O Amor","Nando Reis",65409,https://open.spotify.com/track/1EQ8sBQ7Abv9DvNBzhXAcv
184,"Acende o Isqueiro",Orochi,65354,https://open.spotify.com/track/1DdEU9f7uXklMx6Dm0Mdwq
185,"Até o céu",Anitta,65194,https://open.spotify.com/track/0NRP5OIrTcgGvttJlSLO0n
186,"O Amor Que Tu Perdeu",Mila,65180,https://open.spotify.com/track/3VQF7gLCASQQ3lQkOnFBhz
187,"Maldita de Ex","Mc Leozin",65053,https://open.spotify.com/track/6Diq6oBnDVzsrNcRllXRbM
188,Virgem,"MC Lya",65032,https://open.spotify.com/track/0DwzQguiWvB8jJonQ5ewJu
189,"Vidrado Em Você","Dj Guuga",64986,https://open.spotify.com/track/2kOmW169C7UV4SZDN9u0YO
190,"everything i wanted","Billie Eilish",64926,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
191,"Alô Bebê - Ao Vivo","Henrique & Juliano",64921,https://open.spotify.com/track/2I1bHdlKar6igsep1R6H46
192,"Bebe e Vem Me Procurar","Raí Saia Rodada",64814,https://open.spotify.com/track/3tu0GkIZwwkmILoD4HemBq
193,"Deixa Tudo Como Tá - Ao Vivo",Thiaguinho,64745,https://open.spotify.com/track/0abrd2vT2W3JZBDNezUY7r
194,"50 Vezes - Ao Vivo","Sorriso Maroto",64370,https://open.spotify.com/track/01wavOnjFBNgdMWBFYIAP4
195,"Nem de Graça",Pixote,64001,https://open.spotify.com/track/11Y1IGMIThaxu4ijcXRNYs
196,"Um Pedido","Hungria Hip Hop",63819,https://open.spotify.com/track/3CgZi8DMUftJHK6WL2gKc1
197,"Bebaça - Ao Vivo","Marília Mendonça",63529,https://open.spotify.com/track/6YjyT6MEMsMc41NNWk2dYg
198,"Romance Proibido - Ao Vivo","MC Kevin o Chris",63377,https://open.spotify.com/track/69Si1G3kLuCQLqQF1EbL25
199,"Level of Concern","Twenty One Pilots",63335,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
200,"Aquecimento da Lexa",Lexa,63270,https://open.spotify.com/track/67JokRnfWFJ93mA5HLIw6q
