,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
181,"È sempre bello",Coez,40405,https://open.spotify.com/track/6IdiuMw1FSAvU3e6bgWQVX
182,"Margarita (con Marracash)",Elodie,40118,https://open.spotify.com/track/6KfwIpX0Xo0lelmuUOnyZV
183,"Fuego (with Geolier & Lele Blade) - Prod. Poison Beatz, Tom Trigger",Neves17,39674,https://open.spotify.com/track/6XPYGFacwZAtmoSVi9m4eT
184,"Te lo prometto - Acoustic Version","Il Tre",39607,https://open.spotify.com/track/489ISAoWFOki5f4BiSZPBO
185,"FRIEND (feat. Shiva, Geolier)",Lazza,39598,https://open.spotify.com/track/7x5LIfBrVvnc4ktIIKq8la
186,"Le Feste Di Pablo (con Fedez)",CARA,39548,https://open.spotify.com/track/73x0EIT2YyIxTs3Rpd3n5T
187,J,Lazza,39526,https://open.spotify.com/track/2acyQgyDZpIdtL6qAUFOSX
188,"CLEAN (feat. Tony Effe)",Lazza,39505,https://open.spotify.com/track/2uOA8V9BGVvbBjVi1vAN9S
189,"LOVE BANDANA - feat. Tedua",Ketama126,39459,https://open.spotify.com/track/15hXSWGLcvtUZLtzCY7E0Q
190,"DUE E ZERO","FSK SATELLITE",39131,https://open.spotify.com/track/3mJNy3bUsjaeVDSgcTIS1B
191,"Toosie Slide",Drake,39050,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
192,"Before You Go","Lewis Capaldi",38919,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
193,Saigon,"Guè Pequeno",38824,https://open.spotify.com/track/0nd1tWz1bmTQ2ObCnZCLV9
194,"D'estate non vale (feat. Ana Mena)","Fred De Palma",38789,https://open.spotify.com/track/5IbiQAbMBe5T2K67mCAIx3
195,Rozzi,Paky,38646,https://open.spotify.com/track/3Y00k9cPoW8BnJesUEFoWn
196,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",38556,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
197,"Rari - feat. Paky, Shiva",Tedua,38477,https://open.spotify.com/track/24UaUs34XY2PDek7j0OEgg
198,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,38461,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
199,90MIN,Salmo,38275,https://open.spotify.com/track/3Ls9yKzshQye18Tx2AvOb6
200,"Tutto Questo Sei Tu",Ultimo,38133,https://open.spotify.com/track/2JbPEAf12Ju2CxSIoZC89d
